"","h",".model","series",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1",1,"arima","A11","Test",0.459372572900313,2.66602695846683,2.09963059843509,0.387438137906713,2.06999073725178,0.983173676329254,0.977642263869744,-0.0123008251631993
"2",1,"arima","A12","Test",-0.341503496985326,2.14340008156289,1.78739225423458,-0.382692789970281,1.8050891740508,0.897545708414587,0.872382799345795,-0.0700949846263252
"3",1,"arima","A13","Test",-0.29729326162109,1.54701096248392,1.2833266878667,-0.326486455796407,1.33530054251283,0.975320077926215,0.949043659151191,-0.010268639555302
"4",1,"arima","A14","Test",0.0430500802640349,1.76016092902863,1.4334109823084,0.0119858452799611,1.41668794826637,0.998022349214368,0.994608610682806,0.0456086932805582
"5",1,"arima","A15","Test",-0.178551552989,2.53202514055852,1.98933657412104,-0.238796864388657,1.97202610486353,1.09536646940739,1.10787365685002,0.0687021018423363
"6",1,"arima","A16","Test",-0.115664596472006,1.6447842904769,1.33989453853489,-0.143680024416143,1.34505189428088,0.824220335114469,0.82256429236013,0.131578458734821
"7",1,"arima","A21","Test",0.160472300600756,1.96338327986696,1.6030121226488,0.126676173032858,1.58843814533964,0.954882662872622,0.945917433236983,-0.0374239213790991
"8",1,"arima","A22","Test",0.261351428391355,2.63022063994885,2.13245403584842,0.203592895242116,2.06597884477107,0.937952512174208,0.952522509566875,-0.346893073799433
"9",1,"arima","A23","Test",0.0085581590697565,2.85306143769428,2.25889266367881,-0.0336818913419699,2.30589556476862,0.991052854262457,0.984717992216131,-0.129666649119795
"10",1,"arima","A24","Test",0.137493660195586,2.38330526421049,1.94795346485615,0.0860148269874127,1.94969849513543,1.08674362169846,1.05212943267098,0.206496260976071
"11",1,"arima","A25","Test",-0.593478750641787,2.26176010747183,1.85796712110292,-0.657737015798178,1.95612842557756,1.13821669175323,1.09964566453656,0.158554246179376
"12",1,"arima","A26","Test",0.583792047996635,2.62347122947384,1.99886306962969,0.507113046134741,1.91312075070513,0.877690181375561,0.895344576270814,-0.0623811982145868
"13",1,"arima","A31","Test",-0.442039117846703,1.70193523768001,1.40332082654766,-0.472745181168354,1.4257991481887,0.737668219152952,0.708181915932881,0.187335023370848
"14",1,"arima","A32","Test",-0.144792011912184,1.64076113320921,1.26279113298534,-0.170526274217846,1.26866809239687,0.818894359013745,0.836939414715332,0.00665208998152736
"15",1,"arima","A33","Test",-0.122200116659984,1.99359871749325,1.56098074358663,-0.165961538532879,1.56953918302342,1.04340972239119,1.03733198875092,0.0690098544010854
"16",1,"arima","A34","Test",0.470750561273078,1.81361614534705,1.5271750409034,0.437141986444526,1.51676926023054,0.868402606590422,0.828886892188256,0.095164345426237
"17",1,"arima","A35","Test",-0.226646065646119,1.78714439240825,1.38410928692939,-0.257827893823606,1.39622043813543,0.853036133636008,0.852136234278085,-0.158259527065256
"18",1,"arima","A36","Test",-0.308555810646194,2.18977208774922,1.7750819415261,-0.354392117454698,1.80760338872875,0.897809066351352,0.887565024140067,-0.222862235401388
"19",1,"arima","A41","Test",-0.324555904854412,3.13189710498913,2.58635075418281,-0.428184664770317,2.61752992055959,0.923525081549707,0.890426138292823,0.1702316963113
